"Data","Último"
"01.06.2020","5,4"
"02.06.2020","5,42"
"03.06.2020","5,49"
"04.06.2020","5,52"
"05.06.2020","5,54"
"08.06.2020","5,57"
"09.06.2020","5,56"
"12.06.2020","5,45"
"15.06.2020","5,44"
"16.06.2020","5,45"
"17.06.2020","5,53"
"18.06.2020","5,54"
"19.06.2020","5,54"
"22.06.2020","5,55"
"23.06.2020","5,55"
"24.06.2020","5,54"
"25.06.2020","5,51"
"26.06.2020","5,51"
"29.06.2020","5,52"
"30.06.2020","5,5"
"01.07.2020","5,52"
"02.07.2020","5,55"
"03.07.2020","5,6"
"06.07.2020","5,6"
"07.07.2020","5,62"
"08.07.2020","5,62"
"09.07.2020","5,62"
"10.07.2020","5,63"
"13.07.2020","5,64"
"14.07.2020","5,64"
"15.07.2020","5,62"
"16.07.2020","5,65"
"17.07.2020","5,64"
"20.07.2020","5,64"
"21.07.2020","5,68"
"22.07.2020","5,7"
"23.07.2020","5,68"
"24.07.2020","5,67"
"27.07.2020","5,61"
"28.07.2020","5,62"
"29.07.2020","5,62"
"30.07.2020","5,61"
"31.07.2020","5,58"
"03.08.2020","5,6"
"04.08.2020","5,62"
"05.08.2020","5,64"
"06.08.2020","5,65"
"07.08.2020","5,65"
"10.08.2020","5,65"
"11.08.2020","5,66"
"12.08.2020","5,66"
"13.08.2020","5,67"
"14.08.2020","5,66"
"17.08.2020","5,65"
"18.08.2020","5,65"
"19.08.2020","5,65"
"20.08.2020","5,64"
"21.08.2020","5,64"
"24.08.2020","5,66"
"25.08.2020","5,69"
"26.08.2020","5,69"
"27.08.2020","5,71"
"28.08.2020","5,71"
"31.08.2020","5,7"
"01.09.2020","5,68"
"02.09.2020","5,72"
"03.09.2020","5,75"
"04.09.2020","5,72"
"07.09.2020","5,67"
"08.09.2020","5,65"
"09.09.2020","5,64"
"10.09.2020","5,65"
"11.09.2020","5,66"
"14.09.2020","5,65"
"15.09.2020","5,67"
"16.09.2020","5,69"
"17.09.2020","5,69"
"18.09.2020","5,67"
"21.09.2020","5,65"
"22.09.2020","5,61"
"23.09.2020","5,62"
"24.09.2020","5,62"
"25.09.2020","5,59"
"28.09.2020","5,6"
"29.09.2020","5,64"
"30.09.2020","5,64"
"01.10.2020","5,65"
"02.10.2020","5,66"
"06.10.2020","5,68"
"07.10.2020","5,69"
"08.10.2020","5,7"
"09.10.2020","5,73"
"12.10.2020","5,73"
"13.10.2020","5,78"
"14.10.2020","5,78"
"15.10.2020","5,77"
"16.10.2020","5,74"
"19.10.2020","5,76"
"20.10.2020","5,74"
"21.10.2020","5,71"
"22.10.2020","5,7"
"23.10.2020","5,69"
"26.10.2020","5,68"
"27.10.2020","5,65"
"28.10.2020","5,62"
"29.10.2020","5,58"
"30.10.2020","5,57"
"02.11.2020","5,56"
"03.11.2020","5,61"
"04.11.2020","5,64"
"05.11.2020","5,7"
"06.11.2020","5,74"
"09.11.2020","5,78"
"10.11.2020","5,84"
"11.11.2020","5,83"
"12.11.2020","5,85"
"13.11.2020","5,85"
"16.11.2020","5,87"
"17.11.2020","5,89"
"18.11.2020","5,88"
"19.11.2020","5,89"
"20.11.2020","5,89"
"23.11.2020","5,9"
"24.11.2020","5,92"
"25.11.2020","5,93"
"26.11.2020","5,93"
"27.11.2020","5,94"
"30.11.2020","5,95"
"02.12.2020","5,94"
"03.12.2020","5,92"
"04.12.2020","5,94"
"07.12.2020","5,95"
"09.12.2020","5,96"
"10.12.2020","5,96"
"11.12.2020","5,94"
"14.12.2020","5,94"
"15.12.2020","5,95"
"16.12.2020","5,96"
"17.12.2020","5,97"
"18.12.2020","5,99"
"21.12.2020","5,97"
"22.12.2020","5,94"
"23.12.2020","5,97"
"28.12.2020","5,97"
"29.12.2020","6,00"
"30.12.2020","6,01"
"31.12.2020","6,01"
"04.01.2021","6,02"
"05.01.2021","6,02"
"06.01.2021","6,03"
"07.01.2021","6,03"
"08.01.2021","6,06"
"11.01.2021","6,08"
"12.01.2021","6,07"
"13.01.2021","6,06"
"14.01.2021","6,08"
"15.01.2021","6,11"
"18.01.2021","6,08"
"19.01.2021","6,08"
"20.01.2021","6,1"
"22.01.2021","6,12"
"25.01.2021","6,1"
"26.01.2021","6,11"
"27.01.2021","6,09"
"28.01.2021","6,04"
"29.01.2021","6,03"
"01.02.2021","6,02"
"02.02.2021","6,07"
"03.02.2021","6,11"
"04.02.2021","6,13"
