"Data","Último","Abertura","Alta","Baixa","Var. %"
"15.03.2022","12,352","12,352","12,352","12,352","0,42%"
"14.03.2022","12,300","12,300","12,300","12,300","-0,26%"
"11.03.2022","12,332","12,332","12,332","12,332","0,98%"
"10.03.2022","12,212","12,212","12,212","12,212","-1,94%"
"09.03.2022","12,455","12,455","12,455","12,455","2,77%"
"08.03.2022","12,118","12,118","12,118","12,118","-1,62%"
"07.03.2022","12,318","12,318","12,318","12,318","-1,02%"
"04.03.2022","12,445","12,445","12,445","12,445","-1,28%"
"03.03.2022","12,606","12,606","12,606","12,606","0,20%"
"25.02.2022","12,581","12,581","12,581","12,581","3,02%"
"24.02.2022","12,212","12,212","12,212","12,212","-2,12%"
"23.02.2022","12,476","12,476","12,476","12,476","-0,30%"
"22.02.2022","12,514","12,514","12,514","12,514","-0,53%"
"21.02.2022","12,582","12,582","12,582","12,582","-0,81%"
"18.02.2022","12,684","12,684","12,684","12,684","-0,60%"
"17.02.2022","12,760","12,760","12,760","12,760","-0,03%"
"16.02.2022","12,764","12,764","12,764","12,764","-0,67%"
"15.02.2022","12,851","12,851","12,851","12,851","1,15%"
"14.02.2022","12,705","12,705","12,705","12,705","-1,27%"
"11.02.2022","12,869","12,869","12,869","12,869","-0,86%"
"10.02.2022","12,980","12,980","12,980","12,980","-0,62%"
"09.02.2022","13,062","13,062","13,062","13,062","0,87%"
"08.02.2022","12,950","12,950","12,950","12,950","0,43%"
"07.02.2022","12,894","12,894","12,894","12,894","0,23%"
"04.02.2022","12,865","12,865","12,865","12,865","-1,59%"
"03.02.2022","13,073","13,073","13,073","13,073","-1,49%"
"02.02.2022","13,271","13,271","13,271","13,271","0,33%"
"01.02.2022","13,227","13,227","13,227","13,227","1,08%"
"31.01.2022","13,086","13,086","13,086","13,086","0,56%"
"28.01.2022","13,012","13,012","13,012","13,012","-0,50%"
"27.01.2022","13,078","13,078","13,078","13,078","0,77%"
"26.01.2022","12,977","12,977","12,977","12,977","1,80%"
"25.01.2022","12,748","12,748","12,748","12,748","0,85%"
"24.01.2022","12,640","12,640","12,640","12,640","-3,34%"
"21.01.2022","13,076","13,076","13,076","13,076","-1,91%"
"20.01.2022","13,331","13,331","13,331","13,331","0,54%"
"19.01.2022","13,259","13,259","13,259","13,259","0,36%"
"18.01.2022","13,212","13,212","13,212","13,212","-0,65%"
"17.01.2022","13,299","13,299","13,299","13,299","0,28%"
"14.01.2022","13,262","13,262","13,262","13,262","-0,96%"
"13.01.2022","13,390","13,390","13,390","13,390","-0,48%"
"12.01.2022","13,455","13,455","13,455","13,455","0,28%"
"11.01.2022","13,417","13,417","13,417","13,417","0,83%"
"10.01.2022","13,307","13,307","13,307","13,307","-1,30%"
"07.01.2022","13,482","13,482","13,482","13,482","-0,56%"
"06.01.2022","13,558","13,558","13,558","13,558","-1,44%"
"05.01.2022","13,756","13,756","13,756","13,756","-0,42%"
"04.01.2022","13,815","13,815","13,815","13,815","0,70%"
"03.01.2022","13,719","13,719","13,719","13,719","0,48%"
"31.12.2021","13,653","13,653","13,653","13,653","-0,65%"
"30.12.2021","13,743","13,743","13,743","13,743","0,21%"
"29.12.2021","13,714","13,714","13,714","13,714","-0,22%"
"28.12.2021","13,744","13,744","13,744","13,744","0,38%"
"27.12.2021","13,692","13,692","13,692","13,692","0,42%"
"23.12.2021","13,634","13,634","13,634","13,634","0,81%"
