Investment_fund,Movement_Index,Date,Type,Amount
0,0,2020-06-12,0,1921.63
0,1,2020-08-05,0,100.0
0,2,2020-10-02,0,25.0
0,3,2020-11-03,0,25.0
0,4,2020-12-03,0,25.0
0,5,2021-01-05,0,25.0
0,6,2021-02-02,0,25.0
0,7,2021-03-02,0,25.0
0,8,2021-04-05,0,25.0
0,9,2021-05-04,0,25.0
0,10,2021-06-02,0,25.0
0,11,2021-07-02,0,25.0
0,12,2021-08-03,0,25.0
0,13,2021-09-02,0,25.0
0,14,2021-10-04,0,25.0
0,15,2021-11-03,0,25.0
0,16,2021-12-03,0,25.0
0,17,2022-01-04,0,25.0
0,18,2022-02-02,0,25.0
0,19,2022-03-03,0,25.0
0,20,2022-04-04,0,25.0
0,21,2022-05-03,0,25.0
0,22,2022-06-02,0,25.0
0,23,2022-07-04,0,25.0
0,24,2022-08-02,0,25.0
0,25,2022-09-02,0,25.0
0,26,2022-10-04,0,25.0
0,27,2022-11-03,0,25.0
0,28,2022-12-05,0,25.0
0,29,2023-01-03,0,25.0
1,0,2020-06-12,0,1000.0
1,1,2020-10-02,0,25.0
1,2,2020-11-03,0,25.0
1,3,2020-12-03,0,25.0
1,4,2021-01-05,0,25.0
1,5,2021-02-02,0,25.0
1,6,2021-03-02,0,25.0
1,7,2021-04-05,0,25.0
1,8,2021-05-04,0,25.0
1,9,2021-06-02,0,25.0
1,10,2021-07-02,0,25.0
1,11,2021-08-03,0,25.0
1,12,2021-09-02,0,25.0
1,13,2021-10-04,0,25.0
1,14,2021-11-03,0,25.0
1,15,2021-12-03,0,25.0
1,16,2022-01-04,0,25.0
1,17,2022-02-02,0,25.0
1,18,2022-03-03,0,25.0
1,19,2022-04-04,0,25.0
1,20,2022-05-03,0,25.0
1,21,2022-06-02,0,25.0
1,22,2022-07-04,0,25.0
1,23,2022-08-02,0,25.0
1,24,2022-09-02,0,25.0
1,25,2022-10-04,0,25.0
1,26,2022-11-03,0,25.0
1,27,2022-12-05,0,25.0
1,28,2023-01-03,0,25.0
0,30,2023-02-02,0,25.0
0,31,2023-03-02,0,25.0
0,32,2023-04-04,0,25.0
0,33,2023-05-03,0,25.0
0,34,2023-06-02,0,25.0
1,29,2023-02-02,0,25.0
1,30,2023-03-02,0,25.0
1,31,2023-04-04,0,25.0
1,32,2023-05-03,0,25.0
1,33,2023-06-02,0,25.0
